Poison Rate,Trust Accuracy,FedAvg Accuracy,Trust Macro F1,FedAvg Macro F1
0%,0.9647,0.9443400000000001,0.9644547235165095,0.9438322474125892
10%,0.96471,0.9441900000000001,0.9644647360768548,0.9436837512145152
20%,0.9647,0.94431,0.9644553544363413,0.9438005174376263
30%,0.9645699999999998,0.9442,0.9643250341930226,0.9436925560834986
40%,0.96423,0.9441900000000001,0.9639792800132032,0.9436898592544823
50%,0.96304,0.9443700000000002,0.9627662317056249,0.943867831949551
60%,0.9620599999999999,0.9443700000000002,0.9617660616832129,0.9438652696611521
