Clients,Trust Accuracy,FedAvg Accuracy,Trust Macro F1,FedAvg Macro F1
3,0.965869986593308,0.9549899875911221,0.9656117348343045,0.9546065230150971
5,0.9646899957929801,0.9484499830898591,0.9644323661468645,0.9479654294410337
10,0.962219986692577,0.941919988888495,0.9619473348242259,0.9414339775967037
20,0.9572200179912641,0.9312299848863971,0.9568175576810098,0.9307150801703706
30,0.9529599750908412,0.9187299690840551,0.9524920796734987,0.9182240159474496
50,0.9345900061868561,0.9018399471808962,0.9342340657257208,0.9012237785590737
